Date,Volume,Crypto_Return_Today,exp_value,volatility
2019-01-14,4005427081,0.02593974549056261,-0.059189601381550744,0.13373813058892225
2019-01-21,4382457545,0.044038028507997797,-0.17278618087524292,0.13435579478637666
2019-01-28,5345165961,0.027963653807510043,-0.19630791486463364,0.1343823634383543
2019-02-04,7501545269,0.335987698546831,-0.014804852396252637,0.15006531458549155
2019-02-11,7564166698,-0.06506992710673651,-0.14329189566755274,0.1497096862644177
2019-02-18,9831653426,0.017991393561955796,-0.11288700074902645,0.1497739532425457
2019-02-25,7959601499,0.08189874621758436,-0.04319749695075386,0.1497183348627946
2019-03-04,13555057276,0.16808184485561958,-0.09104738821182681,0.14733189856957996
2019-03-11,12013476959,0.06852338592743189,0.14581073085291577,0.1477948243632459
2019-03-18,13265316549,-0.01745450932930763,-0.11828011062898827,0.1478216960226249
2019-03-25,13439295885,0.007479367630087753,0.18854967625609365,0.14561263302716604
2019-04-01,26961287779,0.41808460083356647,0.04494529690208478,0.16063375114237807
2019-04-08,19813126138,-0.107258740917001,0.029254946004578314,0.1621809522824347
2019-04-15,17586066930,-0.07091789157279303,0.10053615926163081,0.1624501286682527
2019-04-22,19143177812,-0.10303691174920981,0.2042562009928636,0.1636976384105192
2019-04-29,21376739983,0.08511920131570876,0.15951452482992015,0.16401905089952978
2019-05-06,25117080697,0.10641190604706048,-0.08903491646165618,0.16338284886637466
2019-05-13,33946150199,0.11893296373503912,-0.0658243628384782,0.16445852621938944
2019-05-20,28389419712,0.15585144784653684,0.03785629746011696,0.16616240176212285
2019-05-27,31070662840,0.028900631712066374,0.07005617859628521,0.16615615756003074
2019-06-03,30067227737,0.004034735599605612,0.046657476267525755,0.1657207937548833
2019-06-10,34748126484,0.17597937237888078,0.011163054073578382,0.16238815934746761
2019-06-17,29081558563,-0.0018084768543482344,-0.06864467895915098,0.1482834997865442
2019-06-24,35427686723,-0.11334226354025215,-0.002569412571936481,0.1510081927923118
2019-07-01,29833832996,-0.014793996563704767,0.0060744044360915225,0.13995196319812403
2019-07-08,27605671667,-0.2925952380008531,0.04702374594051414,0.1530702974834806
2019-07-15,27364754275,0.10321140388530863,-0.06140320139075167,0.1477132281922145
2019-07-22,18679880949,-0.10349589019444554,0.14956338204484323,0.14918857642318725
2019-07-29,18588354494,0.037517427512156136,0.05970390098295193,0.14562823523689905
2019-08-05,22637526256,-0.036458297523418386,-0.029082531973560616,0.13583868333375776
2019-08-12,20386857712,-0.16221840984703773,0.004365734041057824,0.14058905572900815
2019-08-19,17480280407,-0.05422246215770883,-0.14858311731800494,0.14139108308171164
2019-08-26,18400153963,-0.0892587779184502,-0.17111160763639605,0.14296433207605885
2019-09-02,18428297099,0.06493789952306801,-0.057011334601182725,0.130507041072648
2019-09-09,17572776767,-0.0043171089867547205,-0.1300020305295792,0.12971152749402806
2019-09-16,21416750362,0.032083483868619964,0.10816093426027203,0.1297455266347483
2019-09-23,19284696966,-0.2902627761499358,-0.043232981987229455,0.14058574642709573
2019-09-30,15639992226,0.020000118744540184,0.13822029811655112,0.13717674312781222
2019-10-07,17314906693,0.024488459608226067,-0.21140967168801272,0.13664010005472596
2019-10-14,18499425783,-0.03195504477215486,0.10961232496311091,0.13672003228091478
2019-10-21,24169469279,0.08710368474460695,-0.010825219260371293,0.13770177862605998
2019-10-28,23968006774,-0.02184251792581814,0.07499089264854891,0.11276052660402916
2019-11-04,26078938740,0.08574094651550443,-0.16313178829656658,0.112827288931515
2019-11-11,21753717955,-0.0682201637518581,-0.3500555748768001,0.11277703304940527
2019-11-18,21370880110,-0.28641395893291066,0.0999831240193609,0.12261355194784089
2019-11-25,20114139920,0.06363135395240452,-0.06921328291855315,0.12207192662102292
2019-12-02,18240155031,-0.03629552985468294,0.11634980115782476,0.11992255079529653
2019-12-09,18227658511,-0.04781556256527692,0.14074823271742926,0.11708368346786169
2019-12-16,21924348105,-0.042431635907162916,-0.08456796814214688,0.11196466724859386
2019-12-23,21430849546,0.040095235821641824,-0.09983635072087912,0.11219421661395064
2019-12-30,21010840667,-0.004598155621100925,-0.01990800757026314,0.11210973979616559
2020-01-06,25163818943,0.1582610385268084,-0.06828320809442276,0.1110162571821613
2020-01-13,32175500050,0.12277976475320714,-0.0852900074595052,0.11449310236914667
2020-01-20,22616075464,-0.027526168498524305,-0.06646107782689448,0.11337171671745774
2020-01-27,35200407547,0.22154111497226844,0.03934361175484361,0.12204431716330169
2020-02-03,35742102807,0.09661777549924241,-0.061103187320033586,0.11212628082202147
2020-02-10,39578391438,-0.026140953432609575,0.06483045772676889,0.110294608691194
2020-02-17,38822187808,0.05915543576374216,-0.055064566042138205,0.10949886317462675
2020-02-24,38030744089,-0.31680941019791486,-0.0608601854528984,0.12314066372062307
2020-03-02,33413494287,-0.11415645067948149,0.07850918235833686,0.1244033990021512
2020-03-09,32525340978,-0.34867302079571494,0.03487041402071081,0.1359635814508959
2020-03-16,25821393049,-0.022695876904936286,0.13220247448570238,0.1358475850341405
2020-03-23,21657816729,0.048153928789919066,-0.08425402150333429,0.13586816003747942
2020-03-30,23763671062,0.0874435033451961,-0.0001253485309777834,0.13640781400815835
